Source,Expected Positive,Priorität,Straftatbestand (Verdacht),Kategorie,Begründung,Name,Username,Profile ID,Date,Likes,Comment,User Verified,Comment ID,Profile URL,Comment URL,Thumbnail,Lfd. Nr. (Original-Export)
test-data3,true,mittel,§ 130 Abs. 1 StGB; § 140 StGB,Billigung Willkürmaßnahme,"""Geiler Typ"" mit mehreren positiven Emojis billigt die diskriminierende Handlung des Täters.",60bubu,60bubu,32412411452,2026-06-02 02:04:12,0,Geiler Typ ❤️🙌👏,no,17955326097136928,https://www.instagram.com/60bubu,https://www.instagram.com/p/DZDH8YstgWl/c/17955326097136928,https://scontent-eze1-2.cdninstagram.com/v/t51.2885-19/472503077_1142050040806609_1322463445413021054_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4zMjAuYzIifQ&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gGmZljf3BRSkO170gxDqy8p7kf534XqM2D6DhQdi-oNo6Z_QJz8j7mTaiR1Gq8F0s8&_nc_ohc=9wWVD9DFO7QQ7kNvwFSLPqc&_nc_gid=PJ6l6j7NIIk05K7-0E5qPA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQD0Ag0rY6sgJdlAS2oplnKeAZZUvfpnujN2NT4gUaVfWA&oe=6A6B16C9&_nc_sid=0985b0,1397
test-data3,true,mittel,§ 130 Abs. 1 StGB,Sonstiges,"'Goyschland' ist eine abwertende Wortschöpfung aus dem antisemitischen Begriff 'Goy' und 'Deutschland', suggeriert eine jüdische Fremdbestimmung Deutschlands (Verschwörungsnarrativ).",bazillus9,bazillus9,4060354454,2026-06-02 13:57:34,0,Goyschland.,no,18220251883321221,https://www.instagram.com/bazillus9,https://www.instagram.com/p/DZDH8YstgWl/c/18220251883321221,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-19/480403133_601029442910062_5827027575809892091_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2gFsZamjER4JTrapvAdLWKy6OGsTRI8sYhvrtNbPfVOlO9_bmniLvlDmUjXa3CE8dAE&_nc_ohc=mV-eUcj3nd4Q7kNvwGfXvWt&_nc_gid=rFRXkwMfudjLSQofWKirww&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQB-gLBLqZfLJ8kytM0PZ88SWeC_5vzdbjs9UQP9Ot-DuQ&oe=6A6AF2FB&_nc_sid=0985b0,2756
test-data3,true,mittel,§ 130 Abs. 1 StGB; § 140 StGB,Billigung Willkürmaßnahme,"""Hans Ehrenmann"" mit Zustimmungs-Emoji, namentliche Nennung des Ladenbesitzers - billigt dessen Handlung.",trksvtsgl,trksvtsgl,61544158537,2026-06-02 09:51:51,0,Hans Ehrenmann 👍,no,18062232812709379,https://www.instagram.com/trksvtsgl,https://www.instagram.com/p/DZDH8YstgWl/c/18062232812709379,https://scontent-eze1-1.cdninstagram.com/v/t51.82787-19/651189152_17963488722054538_4537727394411049877_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2gH-GmhL3n0D3szlTHUgVwbWHv52WQecArKeXjsXwz3m3eS6zDRgbtQvubmht4Egbog&_nc_ohc=n46g8eZXYR8Q7kNvwEO-H9C&_nc_gid=1HHB9ytEXrMhg3sCH7JS6Q&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQBRhMkn8H7iVzXr_olXCkaXLg5NrOvTPoB62pfrzdImuA&oe=6A6AEE63&_nc_sid=0985b0,2138
test-data3,true,mittel,§ 130 Abs. 1 StGB,Billigung Willkürmaßnahme,'Ehrenmann' im Kontext der Verteidigung des antisemitischen Schildes billigt die Willkürmaßnahme.,kasapmelo_64,kasapmelo_64,67440948763,2026-06-02 12:44:56,0,Ehrenmann,no,18074181902306032,https://www.instagram.com/kasapmelo_64,https://www.instagram.com/p/DZDH8YstgWl/c/18074181902306032,https://scontent-eze1-2.cdninstagram.com/v/t51.82787-19/674528102_17931003366252764_3879450464136784787_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2gEzLi-XJ68h95Rd6yyRQ7ndEZxMZZCk2bBzyEo3AMJ5rWHZ3sv7D27NW2nrOnJvhGA&_nc_ohc=-pECD-jcgXQQ7kNvwGWtPvy&_nc_gid=hbdSeAVv6SC1TEvzFicUPw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQBEe8y2uGPqqzX9t8VA5WgGwcSrOImC23XeiHQtNq4Fog&oe=6A6AE8C8&_nc_sid=0985b0,2572
test-data3,true,hoch,§ 130 Abs. 1 StGB,Aufstacheln zum Hass,"Bezeichnet Israelis pauschal als 'Israel terrorist forces', die 'Kinder töten', kollektive Täterzuschreibung an eine ganze Volksgruppe unabhängig vom individuellen Verhalten.",hmlvdb,hmlvdb,75632509003,2026-06-02 13:49:00,0,@m0rice.kch stimmt überhaupt NICHT!!!!! Israeli dürfen nicht rein..IOF / ITf Israel terrorist forces... töööööööten Kinder.... kommen nach Thailand für Urlaub!??!,no,17930082795311684,https://www.instagram.com/hmlvdb,https://www.instagram.com/p/DZDH8YstgWl/c/17930082795311684,https://scontent-eze1-2.cdninstagram.com/v/t51.2885-19/505753409_17842395954525004_3569783258162210697_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2gFsZamjER4JTrapvAdLWKy6OGsTRI8sYhvrtNbPfVOlO9_bmniLvlDmUjXa3CE8dAE&_nc_ohc=YcMEZFPKbqwQ7kNvwE2o2Pg&_nc_gid=rFRXkwMfudjLSQofWKirww&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQCUhaGWUIzWQV4jB3KEBCP5vfZj3uggOfZ06uHlN2WHuw&oe=6A6B0580&_nc_sid=0985b0,2741
test-data3,true,mittel,§ 130 Abs. 1 StGB,Aufstacheln zum Hass,"""Good goy"" - erneuter antisemitischer Code, der Kontrolle/Unterwürfigkeit gegenüber Juden unterstellt.",halblings.welt,halblings.welt,47949473192,2026-06-02 10:34:26,0,Good goy😂😂😂😂,no,18084248201388552,https://www.instagram.com/halblings.welt,https://www.instagram.com/p/DZDH8YstgWl/c/18084248201388552,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-19/194953166_748311642503273_973626155754006730_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gGRKIN_u46ylObHfLOQ1cliQiFRgPEEbFR0LJZYpE3uSspjuHoakAgs3MdpgdbJQKM&_nc_ohc=Jb2DUJXo5U8Q7kNvwE7XEGW&_nc_gid=8AVAm4LMoUPtYllax7dJyA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQAUFQ1Q9MefS-RzWl9XzTBihDonHHxPCXKa--moyy0QMg&oe=6A6B15EC&_nc_sid=0985b0,2246
test-data3,true,mittel,§ 130 Abs. 1 StGB,Aufstacheln zum Hass,"Kündigt eigene pauschale Ausgrenzung von 'arabs' aus dem eigenen Geschäft an, was einer Billigung von Willkürmaßnahmen gegen eine ethnische Gruppe entspricht.",under.wood101,under.wood101,78201434339,2026-07-16 00:28:12,0,Hausrecht. Ganz klar. Bei mir würden halt keine arabs rein kommen.,no,17911194423245863,https://www.instagram.com/under.wood101,https://www.instagram.com/p/DZDH8YstgWl/c/17911194423245863,https://scontent-eze1-2.cdninstagram.com/v/t51.82787-19/619217668_17854413684602340_7595189986942051869_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby40OTYuYzIifQ&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gH7Nl82ArK0Vlbr9K88HBVUWHtl6ndHVPCBWBFeu3pfwVrOZl6ilWFnyu4njBen-U0&_nc_ohc=V2bQK1oqZZoQ7kNvwFBlBaW&_nc_gid=w-N5XI8z3j0vC9fn6GXpTw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQBcYSHPQ_ft6bocw5VfsJpRpcpzA-b8G1Hgihs6ki0ywQ&oe=6A6AF6AC&_nc_sid=0985b0,4663
test-data3,true,mittel,§ 130 Abs. 1 StGB,Billigung Willkürmaßnahme,"'Volksheld' als Verherrlichung des Täters, der Juden ausgeschlossen hat.",kevin_bier_zu_haus,kevin_bier_zu_haus,48872941545,2026-06-02 14:38:30,0,Volksheld👍,no,18357528148239478,https://www.instagram.com/kevin_bier_zu_haus,https://www.instagram.com/p/DZDH8YstgWl/c/18357528148239478,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-19/241021185_909041359699205_3605900554782155563_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2gGIPZ8-ZhKuHQysFuAhR_hlkDTfEb29CbufMAkTmvkGw9oEMCahO97976yaNrxU_-Q&_nc_ohc=Q1A0N7ES394Q7kNvwGYwn1P&_nc_gid=tFH9vaNpUjdfCKd1GklJ2g&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQDgc2u3tGFS5Sr50PeznPQLVTya9vC0yYuJwnLD_vpsVw&oe=6A6B0301&_nc_sid=0985b0,2869
test-data3,true,mittel,§ 130 Abs. 1 StGB; § 140 StGB,Billigung Willkürmaßnahme,"""Ehrenmann"" mit Applaus-Emoji - billigende Zustimmung zur Handlung des Ladenbesitzers.",buddycool4521,buddycool4521,6835526616,2026-06-02 11:22:14,0,👏👏👏👏 Ehrenmann,no,18131801635598356,https://www.instagram.com/buddycool4521,https://www.instagram.com/p/DZDH8YstgWl/c/18131801635598356,https://scontent-eze1-2.cdninstagram.com/v/t51.2885-19/167278825_273897240939180_525654280349875153_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45NjAuYzIifQ&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2gHO7MG-bpYVI3HQYID0A1hP-w0yKBLexaPI-fIVkQc_uE8IjXhoiGyo65QQwEHeLSc&_nc_ohc=MzJB-4bD-H0Q7kNvwGz-h5n&_nc_gid=wIGp_SMY_r0uB0dtCACt7A&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQC-V2_ePlWlFkHr0osufeM98WZ2dmu4ZB36nO4H6_Fz_Q&oe=6A6AF241&_nc_sid=0985b0,2367
data2,,,,,,krdmr_ugur7,krdmr_ugur7,42595421944,2026-06-02 07:47:37,0,Sein laden seine regeln 😉,no,18079209320644657,https://www.instagram.com/krdmr_ugur7,https://www.instagram.com/p/DZDH8YstgWl/c/18079209320644657,https://scontent-eze1-1.cdninstagram.com/v/t51.82787-19/722520805_18086776610421945_6187008594864052607_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gEi5cVqnRTque2D9l6RfClHe3Qjqq5JfQ8lM3W2q2UnP3fI1orTEUOFOdWqE2rFHsI&_nc_ohc=EBBjOIKuvlEQ7kNvwGCnT1O&_nc_gid=SQM2PusNa8_ZFJVizXEaSA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQCywTOYd-fCwhxIzlV9qz7XPAcX-_smYKIfIpb_q2TbNQ&oe=6A6B1907&_nc_sid=0985b0,
test-data3,true,mittel,§ 130 Abs. 1 StGB; § 140 StGB,Billigung Willkürmaßnahme,"Bezeichnet die Verurteilung als ""krank"" und ""unglaublich"", billigt damit implizit die zugrunde liegende Tat.",_.cxro_lina_,_.cxro_lina_,2375097311,2026-06-02 00:49:03,0,Krank das er verurteilt wurde …. Unglaublich,no,18135518767560186,https://www.instagram.com/_.cxro_lina_,https://www.instagram.com/p/DZDH8YstgWl/c/18135518767560186,https://scontent-eze1-2.cdninstagram.com/v/t51.82787-19/753546359_18551047660073312_5936162690483542186_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2gFGol7qb3X3CS0h-v7KrbACorAlMG6bngrCn_16G1vR-jdIW-LglFk994SIYGR0lJs&_nc_ohc=dgJh3Fpqv1wQ7kNvwERO4Al&_nc_gid=aaM4gx5cCxKlb4t5Rlom1A&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQC3AkDfafI7JDvssAikbrVCmvpLJchImjMA9doBXV0y-Q&oe=6A6B0BC0&_nc_sid=0985b0,1113
test-data3,true,mittel,§ 130 Abs. 1 StGB; § 140 StGB,Billigung Willkürmaßnahme,Billigt die Tat ausdrücklich ('alles richtig gemacht').,maurice316_,maurice316_,39325462024,2026-07-21 18:02:18,0,Alles richtig gemacht,no,18614288830029805,https://www.instagram.com/maurice316_,https://www.instagram.com/p/DZDH8YstgWl/c/18614288830029805,https://scontent-eze1-2.cdninstagram.com/v/t51.82787-19/589917457_18092379737310025_1398473656789962259_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gGnVpVmfeNnAHWLaygWzShvyQ4K8EsBvWaZYU6sHsrax5-voa0eJOs-VhBg9cq8I2w&_nc_ohc=Nnb8V9hKXMQQ7kNvwGFSz7l&_nc_gid=NHnkhQ4eWclZLVvAvWi6OA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQAA_xu2Zi1PufCVMNkduMsW7-5qduhUSsDHeE7JmzdTQw&oe=6A6B07D9&_nc_sid=0985b0,4718
