Evaluation Group,Expected Relevant,Expected Discrimination,Source,Review Reason,Priorität,Straftatbestand (Verdacht),Kategorie,Begründung,Name,Username,Profile ID,Date,Likes,Comment,User Verified,Comment ID,Profile URL,Comment URL,Thumbnail,Lfd. Nr. (Original-Export),Translated Comment
positive,true,false,data-positive,"Verschwörungsanspielung, Deutschland sei von Israel ""besetzt"" - klassisches antisemitisches Verschwörungsnarrativ zur pauschalen Zuschreibung jüdischer/israelischer Machtkontrolle, Graubereich.",mittel,§ 130 Abs. 1 StGB,Sonstiges,"Verschwörungsanspielung, Deutschland sei von Israel ""besetzt"" - klassisches antisemitisches Verschwörungsnarrativ zur pauschalen Zuschreibung jüdischer/israelischer Machtkontrolle, Graubereich.",santo66.hl,santo66.hl,77300122937,2026-06-02 08:57:04,0,"Das wirft dem Verdacht auf, daß Deutschland von Israel besetzt ist.",no,17907964341238834,https://www.instagram.com/santo66.hl,https://www.instagram.com/p/DZDH8YstgWl/c/17907964341238834,https://instagram.fccp1-1.fna.fbcdn.net/v/t51.2885-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=instagram.fccp1-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2gHMHqGTu6CsRbJrhF8LyCA5p1C-rqcWTCUKEM0mro-KWKRWg6XHf0H-6qfHr4rhr_qVUNQmaoWq4ieV2BiVWeE-&_nc_ohc=vUGxye7DTtYQ7kNvwGCqSqk&_nc_gid=1ZMFq9D26XHsPcOlN8CopA&edm=AL4D0a4BAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&oh=00_AQDY5bDT1Ponw4iMX7HiwCuQwW3f0-qhChS7bVdEMOqDfw&oe=6A6B08EA&_nc_sid=9e8221,1980,That raises the suspicion that Germany is occupied by Israel.
counter_speech,false,false,data2-reviewed,Manually reviewed control,,,,,adi.84,adi.84,2356005607,2026-06-01 22:30:17,0,"@alicia_jacobsen_ mal sehen was die sagen, wenn überall in Deutschland stehen würde ""keine Thais""...",no,18064279238454567,https://www.instagram.com/adi.84,https://www.instagram.com/p/DZDH8YstgWl/c/18064279238454567,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-19/37417053_492353161207607_5455023054818115584_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby41MzkuYzIifQ&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gFxyvHcYDHwYOqQhbrGyX5lvuRiIzTmLa-IN2H8TGoutZ_mVbngtKkALW63ZFVsAv8&_nc_ohc=J63E70_BWVoQ7kNvwH6vSf1&_nc_gid=iky_bkw_Yq1PXuLyWlf_fg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQAzuWRpx0zPlNzAtv0s-ubv52F2xKTNcClhsQbCbBuHoA&oe=6A6AEAAB&_nc_sid=0985b0,,"@alicia_jacobsen_ let's see what they say if everywhere in Germany it said ""no Thais..."""
neutral,false,false,data2-reviewed,Manually reviewed control,,,,,an.ja.m1924,an.ja.m1924,47598546109,2026-06-04 22:55:00,0,"@ado.ame was ist eine Russlandjacke? Meinen sie eine Jajre in den Farnen der Flagge?.in welcher Stadt ist das passiert, in welcher Schule? Ich google jetzt und melde mich, wenn ich etwas dazu gefunden habe. Woher haben Sie die Information/ Stadt/ Bundesland?",no,18081811097541721,https://www.instagram.com/an.ja.m1924,https://www.instagram.com/p/DZDH8YstgWl/c/18081811097541721,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-19/412318341_2433092320223530_653470980356759119_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2gErwch3gqjlHfOb7kGwTcU_eXaPwUKCGHAU1ouv2zutwa1v4hKXQxz5S4kBaLG2Ug8&_nc_ohc=2_-nrft1uTYQ7kNvwEVhMoN&_nc_gid=9GNMMIgHw6eqUjTjjoj0QQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQDTUosXvk7hOH_4Ro6qSf8YhDsi8fljO8RFvoT-tshxEw&oe=6A6B1520&_nc_sid=0985b0,,"@ado.ame what is a Russia jacket? Do you mean a year in the colors of the flag? In which city did this happen, in which school? I'll google now and get back to you if I find something. Where did you get the information/city/state?"
positive,true,false,data-positive,"Pauschale abwertende Zuschreibung an ""die Deutschen"" (""eure Triebe nicht kontrollieren"") - Kollektivbeschimpfung einer Volksgruppe, Graubereich, im Kontext der Debatte um den Fall.",mittel,§ 130 Abs. 1 StGB,Sonstiges,"Pauschale abwertende Zuschreibung an ""die Deutschen"" (""eure Triebe nicht kontrollieren"") - Kollektivbeschimpfung einer Volksgruppe, Graubereich, im Kontext der Debatte um den Fall.",melih.sls,melih.sls,67879090502,2026-06-02 11:02:20,0,@takhi_sun eher weil ihr Deutschen eure Triebe nicht kontrollieren könnt.,no,17943351510206213,https://www.instagram.com/melih.sls,https://www.instagram.com/p/DZDH8YstgWl/c/17943351510206213,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-19/473147592_1249476516109982_1969812779407756918_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45NjkuYzIifQ&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2gHia8Yh3qoxoqarGyfnQHd_wftAJ5frTE1Bjp13tEazbLrA1ijPDf5pvmfssQ36gBg&_nc_ohc=1Z5VKurVWTQQ7kNvwHsjFLt&_nc_gid=4mjOLn7T8uS-RCIt-KYuMA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQB6lWyInd_fwk7RnQJ04dMfMQ6jZgwaJxtjOgcsw7SrGQ&oe=6A6AF76E&_nc_sid=0985b0,2321,@takhi_sun rather because you Germans can't control your urges.
positive,true,true,data-positive,"""starker Typ"" mit Beifalls-Emojis billigt die diskriminierende Tat des Ladenbesitzers.",mittel,§ 130 Abs. 1 StGB; § 140 StGB,Billigung Willkürmaßnahme,"""starker Typ"" mit Beifalls-Emojis billigt die diskriminierende Tat des Ladenbesitzers.",salvarli_demokrat,salvarli_demokrat,7278564198,2026-06-02 01:53:48,0,👏👏👏 starker Typ!!!!,no,18200095453361824,https://www.instagram.com/salvarli_demokrat,https://www.instagram.com/p/DZDH8YstgWl/c/18200095453361824,https://scontent-eze1-2.cdninstagram.com/v/t51.82787-19/727519036_18359505979244199_4312743822986286721_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gHXoHWYLBOSyKmhNnKS1RCJTIU2THY3-jVYWG1slxNbPVrm7HTTYTBxu72g6JeCj7s&_nc_ohc=UL64LPyvnlAQ7kNvwFZzEu6&_nc_gid=slhFyn9p4OolA0pPD2P3Mw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQDu5MKWCMR6P4ipK7YtG7HZ5W9leY56P_lN5wG2sk28Iw&oe=6A6B124D&_nc_sid=0985b0,1366,👏👏👏 strong guy!!!!
positive,true,ambiguous,data-positive,Ausdrückliche Solidarisierung mit dem namentlich genannten Verurteilten.,mittel,§ 130 Abs. 1 StGB,Billigung Willkürmaßnahme,Ausdrückliche Solidarisierung mit dem namentlich genannten Verurteilten.,habibo030_,habibo030_,46263055338,2026-06-02 00:04:20,0,ich solidarisiere mich mit Hans Velten R.,no,17994728864978160,https://www.instagram.com/habibo030_,https://www.instagram.com/p/DZDH8YstgWl/c/17994728864978160,https://instagram.fbel12-1.fna.fbcdn.net/v/t51.2885-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-jpg_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=instagram.fbel12-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2gFQckxWqNgRgMrZlOUtSpcm0aU6fErjz06IMwGbGGRZLzZVLt8Wm0DAsdiAweRDsXXmsk967KdPQxvumE-YEMJr&_nc_ohc=vUGxye7DTtYQ7kNvwGJdYt4&_nc_gid=NK1__pNdUhJ7BpzmUGRCag&edm=AL4D0a4BAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&oh=00_AQA4y9Aw9B9L7_B9P3JcHs0ENBH9zU2U-3doZ1sOCmAXCg&oe=6A6B08EA&_nc_sid=9e8221,928,I express solidarity with Hans Velten R.
positive,true,true,data-positive,"Autor erklärt, bei ihm hätten 'die' (im Kontext: Juden) ebenfalls Hausverbot - eigene Ankündigung einer Willkürmaßnahme gegen die Gruppe.",mittel,§ 130 Abs. 1 StGB,Billigung Willkürmaßnahme,"Autor erklärt, bei ihm hätten 'die' (im Kontext: Juden) ebenfalls Hausverbot - eigene Ankündigung einer Willkürmaßnahme gegen die Gruppe.",kallefornien2014,kallefornien2014,77737807885,2026-06-02 14:38:36,0,Bei mir haben die auch Hausverbot. 🔥,no,17884788450572726,https://www.instagram.com/kallefornien2014,https://www.instagram.com/p/DZDH8YstgWl/c/17884788450572726,https://instagram.flaj2-1.fna.fbcdn.net/v/t51.2885-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=instagram.flaj2-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2gFKH6745FDarEfd2V_fx3Gc_FyCNFc5Qt2VPyuyi6_rvg5XmMxjmai7XdE-_d0U4PeAp6xg77EGtRXEQP10mmvC&_nc_ohc=vUGxye7DTtYQ7kNvwGyOZQS&_nc_gid=FC6Hfw34_ZqLWxhhTiJlSQ&edm=AHBgTAQBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&oh=00_AQDOUHSP08T--NjQ933fkpZuNo6seS9cduLCwoibxdzsxw&oe=6A6B08EA&_nc_sid=21e75c,2871,They're also banned from my place. 🔥
counter_speech,false,false,data2-reviewed,Manually reviewed control,,,,,francisco.ka,francisco.ka,2291460947,2026-06-03 13:52:29,0,@berserker.jerky Religion mit Politischer Einstellung vergleichen interessant,no,18093192782610653,https://www.instagram.com/francisco.ka,https://www.instagram.com/p/DZDH8YstgWl/c/18093192782610653,https://scontent-eze1-2.cdninstagram.com/v/t51.82787-19/523919883_18474420223076948_2395979745946528602_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2gHc3-fgprct0i8sjehwBXeu5pPfvY6lwB18gSXASkuyxgO1cNGQcbSs9fIsv4xSFSM&_nc_ohc=YxQIbeursisQ7kNvwH2aalO&_nc_gid=eNc47n5sAq3Asp7HTY4qUw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQC58hlRWILnA1mLE4O57SATYnB0aOADMnNBZIC9YxcSCQ&oe=6A6B15B5&_nc_sid=0985b0,,@berserker.jerky Comparing religion with political attitude is interesting
counter_speech,false,false,data2-reviewed,Manually reviewed control,,,,,ober.peet.mann,ober.peet.mann,8203654247,2026-06-02 02:56:34,0,"@byannie.c würde nur gerne wissen mit welchem Maß hier gemessen wird , finde dieses Schild auch verwerflich , jedoch waren Proteste der Hamas Anhänger die Schilder hochgehalten haben mit der gleichen Aussagekraft erlaubt und es wurden keine Strafen verhangen",no,17995594733973888,https://www.instagram.com/ober.peet.mann,https://www.instagram.com/p/DZDH8YstgWl/c/17995594733973888,https://scontent-eze1-2.cdninstagram.com/v/t51.2885-19/36483811_283368038899544_3563678526068490240_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MjAuYzIifQ&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2gFNe3ovFghP3-SWRKb-XNjhHUCjXTY8RotIai0GHs9c1UYH-J6em6X_pG8WJq7fTaA&_nc_ohc=a9e7-K7pUIEQ7kNvwGUCvn-&_nc_gid=DYsSH24qF7mtulfFktn1Ug&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQAma0KR_280GH6yhVJ92aymqJ53x6BYCPZAnrGEelIZfw&oe=6A6AF843&_nc_sid=0985b0,,"@byannie.c would just like to know what standard is being applied here. I also find this sign reprehensible, however, protests by Hamas supporters who held up signs with the same message were allowed and no penalties were imposed."
neutral,false,false,data2-reviewed,Manually reviewed control,,,,,bannedbored,bannedbored,74186386941,2026-06-02 16:35:01,0,Aber afd Wähler verbot ist legal,no,18372798196205442,https://www.instagram.com/bannedbored,https://www.instagram.com/p/DZDH8YstgWl/c/18372798196205442,https://scontent-eze1-1.cdninstagram.com/v/t51.82787-19/530526166_17856954564474942_8886900804609577656_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby41ODguYzIifQ&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2gEhck2eqP_uhlh2_u9MuuY39vTGta5At7uqNLsm_nz2TJwBO9LZ69xEpbv10Knxpfc&_nc_ohc=_eyaa2GIoJsQ7kNvwEgqfRl&_nc_gid=hJG0dxyZAm56brOQOKzW1A&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQAYyzQ7d4Q6o1SehtO9Fzy_6axcKh5eW3UXA_Ip2Qnj7w&oe=6A6B0649&_nc_sid=0985b0,,But AfD voter ban is legal.
neutral,false,false,data2-reviewed,Manually reviewed control,,,,,steiner.ludwig,steiner.ludwig,3512120883,2026-06-02 01:43:50,0,Hä. Aber AFD Wählern Zutritt verwehren.,no,18082816238408387,https://www.instagram.com/steiner.ludwig,https://www.instagram.com/p/DZDH8YstgWl/c/18082816238408387,https://scontent-eze1-2.cdninstagram.com/v/t51.2885-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2gE7ph9RLmoqayOiqdvrItJZIFCiBUdqGoAhcaOPdqRWDDhsUm06tXjG1yugRxnz8j8&_nc_ohc=vUGxye7DTtYQ7kNvwHyWyhS&_nc_gid=2aWIg5O-dyNAHJF8uLPhXA&edm=AI-cjbYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&oh=00_AQDI0B256bdkdS1DaESMJulqJD0ovDjecnklwlMnCYF8WQ&oe=6A6B08EA&_nc_sid=0985b0,,Ha. But denying access to AFD voters.
positive,true,true,data-positive,"Pauschale abwertende Aussage ""wer will schon so ein Volk in seinem Laden haben"" macht eine ganze Volksgruppe kollektiv verächtlich.",mittel,§ 130 Abs. 1 StGB,Aufstacheln zum Hass,"Pauschale abwertende Aussage ""wer will schon so ein Volk in seinem Laden haben"" macht eine ganze Volksgruppe kollektiv verächtlich.",tobi_200306,tobi_200306,33149795228,2026-06-04 00:59:29,0,Ja wer will schon so ein Volk in seinem Laden haben 😂😂,no,18213341656337000,https://www.instagram.com/tobi_200306,https://www.instagram.com/p/DZDH8YstgWl/c/18213341656337000,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-19/394019219_325585403540606_1028771499219337795_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2gGyA98odFEtW2ccwIDLy1hnizFwEM8ONqvnLjzyakcC4V1ncL8a0vTBdgcY0agN3_o&_nc_ohc=1b81XdyuqJcQ7kNvwGucqbl&_nc_gid=hILzAvhfkPtayxz_rPPOvw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQCIPKK0lT0j-vnH2V5HvLjz_imNdIaJWNRVUbdQ00sNAA&oe=6A6B0580&_nc_sid=0985b0,4093,"Yeah, who would want such a people in their shop anyway 😂😂"
positive,true,ambiguous,data-positive,"""Ehrenmann"" lobt den wegen Volksverhetzung Verurteilten.",mittel,§ 130 Abs. 1 StGB,Billigung Willkürmaßnahme,"""Ehrenmann"" lobt den wegen Volksverhetzung Verurteilten.",der_westfale_,der_westfale_,64469885098,2026-06-01 23:16:46,0,Ehrenmann,no,17936250729249735,https://www.instagram.com/der_westfale_,https://www.instagram.com/p/DZDH8YstgWl/c/17936250729249735,https://scontent-eze1-1.cdninstagram.com/v/t51.82787-19/670389113_17945788923149099_4143486537936129601_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby41NTQuYzIifQ&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gFUKAu33TzZzCgXPLWy2oEhw0YrEuMTQXuS4gQHdVAFgSIiUwqpPaG8Gajvci1cmbU&_nc_ohc=oT8UrScHdncQ7kNvwHbi2sL&_nc_gid=3T7fI1Z1-_EndhbPna-6uQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQA_CKDCyZV2GT3R7OMPqMpKgMBTD48Uq-CdrVaksTBE6A&oe=6A6B195A&_nc_sid=0985b0,634,Honorable man
neutral,false,false,data2-reviewed,Manually reviewed control,,,,,bleeker.dennis,bleeker.dennis,13137364286,2026-06-02 07:37:17,0,Stand nicht auch an diversen Läden das afd Wähler kein Zutritt haben ? Ist das jetzt auch rechtswidrig ?,no,18154097872477854,https://www.instagram.com/bleeker.dennis,https://www.instagram.com/p/DZDH8YstgWl/c/18154097872477854,https://scontent-eze1-2.cdninstagram.com/v/t51.2885-19/504083007_18129433615436287_5898799064027450899_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45NTguYzIifQ&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2gGASE95U_9frmXLKAIkvhVH0TM7cB_MIo7QdxHJE__MmrYH1tW448LS8lRv6JK5HSo&_nc_ohc=cmZDZkFQ-DEQ7kNvwFK-ZAY&_nc_gid=jFKLaEL78nZ5b-zuNLBEPw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQDmZzuCWiW3lQSzpLZIAzLQ9_TlJxRs-3fzQKUfBpMwnw&oe=6A6AF18E&_nc_sid=0985b0,,Wasn't it also the case that various shops had signs saying AfD voters are not allowed entry? Is that now also illegal?
counter_speech,false,false,data2-reviewed,Manually reviewed control,,,,,sunrisen1987,sunrisen1987,58360777308,2026-06-02 10:37:14,0,Mit dem Urteil kann man gut leben👍,no,18097217068901817,https://www.instagram.com/sunrisen1987,https://www.instagram.com/p/DZDH8YstgWl/c/18097217068901817,https://scontent-eze1-1.cdninstagram.com/v/t51.2885-19/358340304_304405472007381_9114209160721530015_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby41OTYuYzIifQ&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2gGRKIN_u46ylObHfLOQ1cliQiFRgPEEbFR0LJZYpE3uSspjuHoakAgs3MdpgdbJQKM&_nc_ohc=llEsqzyB5UQQ7kNvwGJmWZb&_nc_gid=8AVAm4LMoUPtYllax7dJyA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQDuR74zslwKXZ9qdJbFJZR9_rSGmInCLA9NGDkO6VScIA&oe=6A6B1C20&_nc_sid=0985b0,,One can live well with the verdict👍
counter_speech,false,false,data2-reviewed,Manually reviewed control,,,,,mehmetniatka,mehmetniatka,6965342732,2026-06-04 20:08:25,0,Würde er die selbe Strafe bekommen wenn da Muslime stehen würde ?,no,18117339085832238,https://www.instagram.com/mehmetniatka,https://www.instagram.com/p/DZDH8YstgWl/c/18117339085832238,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-jpg_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4yMjQuYzIifQ&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2gEc8fz6q6tyffAR4Cq4iTXa22dnYcWdLtqxSeAHRPoolSCXFd0UspQHmBCkHABgedSsr8DG_IerlVraQGjyob4R&_nc_ohc=vUGxye7DTtYQ7kNvwEKneV_&edm=AAAAAAABAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&oh=00_AQBBNeIKQmQj1oGeHq-l8LSl7WBDfhBPnSaNBm-k8LkI7A&oe=6A6B08EA&_nc_sid=328259,,Would he receive the same punishment if Muslims were standing there?
positive,true,false,data-positive,"Bezeichnet 'die' (im Kontext Juden) pauschal als 'das große Problem auf dieser Welt', Kollektivzuschreibung, die eine ganze Gruppe verächtlich macht.",mittel,§ 130 Abs. 1 StGB,Aufstacheln zum Hass,"Bezeichnet 'die' (im Kontext Juden) pauschal als 'das große Problem auf dieser Welt', Kollektivzuschreibung, die eine ganze Gruppe verächtlich macht.",el_darto_180,el_darto_180,13379763895,2026-06-02 14:23:43,0,Genau die sind das große Problem auf dieser Welt,no,18175642288370524,https://www.instagram.com/el_darto_180,https://www.instagram.com/p/DZDH8YstgWl/c/18175642288370524,https://scontent-eze1-2.cdninstagram.com/v/t51.2885-19/273035198_606120473820637_4282087240957791471_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby40OTguYzIifQ&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2gGR5NDZcZt3AnwYBQ0-_507faOIF4avG9vTfV9kiLA_UNqrSBalJ4jl2S4E_1CtZjI&_nc_ohc=JIpzOOP2W-EQ7kNvwF_C3rx&_nc_gid=768vrnNyFr9oS5pDNOw9NQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQAKCrs5PpX5pn-P360xs7ASA1Ffjwi-OCXWr62Zf7o8gQ&oe=6A6B160A&_nc_sid=0985b0,2831,Exactly those are the big problem in this world.
positive,true,ambiguous,data-positive,"""Geiler Typ"" lobt den wegen Volksverhetzung Verurteilten.",mittel,§ 130 Abs. 1 StGB,Billigung Willkürmaßnahme,"""Geiler Typ"" lobt den wegen Volksverhetzung Verurteilten.",made_in_germany_07,made_in_germany_07,57891440606,2026-06-02 00:06:27,0,Geiler typ😂,no,18146310415499646,https://www.instagram.com/made_in_germany_07,https://www.instagram.com/p/DZDH8YstgWl/c/18146310415499646,https://scontent-eze1-2.cdninstagram.com/v/t51.82787-19/661365396_17996037407928607_1428863822410827993_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2gFefdEEjFN0GqVMVdcsntNA9yAMXW79onrqemn3_ADlPiCyUbi4OciW35blojUl6bg&_nc_ohc=nWOEcoWyhIsQ7kNvwFV51dH&_nc_gid=WF7HRP2X5aA72YC1xYTJ-g&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQCMvZhwhF64pQW3grKMkJvKGqGYSRqYSBMW3z5Dt4MqNQ&oe=6A6B1F27&_nc_sid=0985b0,940,Cool guy😂
positive,true,true,data-positive,'Er hat alles richtig gemacht' als klare Zustimmung zur antisemitischen Ausgrenzung.,mittel,§ 130 Abs. 1 StGB,Billigung Willkürmaßnahme,'Er hat alles richtig gemacht' als klare Zustimmung zur antisemitischen Ausgrenzung.,kleinchen800,kleinchen800,78829457741,2026-06-02 14:21:17,0,Er hat alles richtig gemacht,no,18068820908693938,https://www.instagram.com/kleinchen800,https://www.instagram.com/p/DZDH8YstgWl/c/18068820908693938,https://scontent-eze1-1.cdninstagram.com/v/t51.82787-19/659725671_17859830145625742_4523661926060263210_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDI0LmMyIn0&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2gGR5NDZcZt3AnwYBQ0-_507faOIF4avG9vTfV9kiLA_UNqrSBalJ4jl2S4E_1CtZjI&_nc_ohc=F5y0bVI4zisQ7kNvwHlNYhl&_nc_gid=768vrnNyFr9oS5pDNOw9NQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQDqa4AWT5ZNBPjRzvjssVjTCPPqDtNsDupAa1h8oaoa_w&oe=6A6B043B&_nc_sid=0985b0,2819,He did everything right.
neutral,false,false,data2-reviewed,Raises a legal-evidence question about group rape,,,,,st_ark.industries,st_ark.industries,16608351638,2026-06-02 14:16:14,0,Eine gruppenvergewaltigung ist also nicht eindeutig?,no,18087862736376385,https://www.instagram.com/st_ark.industries,https://www.instagram.com/p/DZDH8YstgWl/c/18087862736376385,https://scontent-eze1-1.cdninstagram.com/v/t51.82787-19/731068151_18137813671559639_6321203538869776548_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-eze1-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gGBIpQyJ40zB-5e2JJNHgpKYQvFbUWoesJlUPrIKpjr71XBTfb2BFPE6kNWzmiZV-E&_nc_ohc=fLGBp-9vmyIQ7kNvwEli4bT&_nc_gid=1I12LAon-7FddfyBWv8UsA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AQAVkG1WvBEuaNeta5FlZs7VlAaQWwg6uD0NhKJKvR_Y6Q&oe=6A6AF287&_nc_sid=0985b0,,So a gang rape is not unambiguous?
